Method,Family,Level,Frame AUC,Video AUC,Drop vs clean
STT-Repro,clean,0.0,0.998369720565768,0.9991195511437204,0.0
FSTT-Net,clean,0.0,0.9991937312108817,0.9994302977988778,0.0
STT-Repro,JPEG,90.0,0.9964053028436254,0.9984635304272766,0.0019644177221426196
FSTT-Net,JPEG,90.0,0.9991769750135528,0.9994648252050065,1.6756197328882116e-05
STT-Repro,JPEG,70.0,0.9975279680646593,0.9993094518774277,0.000841752501108739
FSTT-Net,JPEG,70.0,0.9985885367897097,0.9985325852395339,0.0006051944211720173
STT-Repro,JPEG,50.0,0.9959765413237396,0.997186016400518,0.0023931792420284204
FSTT-Net,JPEG,50.0,0.9959903405450693,0.996236512731981,0.0032033906658124334
STT-Repro,JPEG,30.0,0.9918969001034941,0.9938023305999136,0.006472820462273932
FSTT-Net,JPEG,30.0,0.9910620472130501,0.9902201122140698,0.008131683997831596
STT-Repro,Blur,1.0,0.9941895421615495,0.9943547690979715,0.004180178404218471
FSTT-Net,Blur,1.0,0.9984150608644226,0.9987570133793698,0.000778670346459176
STT-Repro,Blur,2.0,0.9636814351190183,0.9701510574018126,0.034688285446749734
FSTT-Net,Blur,2.0,0.9842935291508551,0.9872680189900733,0.014900202060026624
STT-Repro,Blur,3.0,0.8299600808240106,0.8433836858006043,0.16840963974175738
FSTT-Net,Blur,3.0,0.8972105859740772,0.8966767371601208,0.10198314523680452
STT-Repro,Noise,5.0,0.9675787294859791,0.9673888649115235,0.030790991079788887
FSTT-Net,Noise,5.0,0.9921058597407717,0.9896331463098835,0.00708787147011003
STT-Repro,Noise,10.0,0.7015326992262579,0.7057747086750108,0.29683702133951007
FSTT-Net,Noise,10.0,0.925801586910453,0.9238325420802763,0.07339214430042873
STT-Repro,Noise,15.0,0.5242836725641911,0.5252309020284852,0.47408604800157694
FSTT-Net,Noise,15.0,0.6570262678034596,0.6537764350453172,0.3421674634074221
STT-Repro,Downscale,0.5,0.9958838894090977,0.9978938282261546,0.0024858311566703373
FSTT-Net,Downscale,0.5,0.9982543985017988,0.9987915407854984,0.000939332709082974
STT-Repro,Downscale,0.33,0.9781676605391553,0.985498489425982,0.020202060026612734
FSTT-Net,Downscale,0.33,0.9944339855108176,0.9944583513163574,0.0047597457000641
STT-Repro,Downscale,0.25,0.9595120989601302,0.9708933966335779,0.03885762160563777
FSTT-Net,Downscale,0.25,0.9744822827854713,0.9768666378938282,0.0247114484254104
