Family,Level,STT-Repro,FSTT-Net,Delta (pp),Winner
clean,0.0,99.84,99.9,0.06,FSTT-Net
JPEG,90.0,99.64,99.89,0.25,FSTT-Net
JPEG,70.0,99.75,99.82,0.07,FSTT-Net
JPEG,50.0,99.61,99.69,0.08,FSTT-Net
JPEG,30.0,99.17,99.38,0.21,FSTT-Net
Blur,1.0,99.42,99.82,0.4,FSTT-Net
Blur,2.0,96.35,98.63,2.28,FSTT-Net
Blur,3.0,82.92,88.04,5.12,FSTT-Net
Noise,5.0,96.75,99.13,2.38,FSTT-Net
Noise,10.0,70.21,88.7,18.49,FSTT-Net
Noise,15.0,52.15,55.07,2.92,FSTT-Net
Downscale,0.5,99.59,99.82,0.23,FSTT-Net
Downscale,0.33,97.81,99.37,1.56,FSTT-Net
Downscale,0.25,95.97,98.0,2.03,FSTT-Net
