Model,Family,Kind,Level,Frame AUC,Video AUC,Clips,Drop vs clean
STT-Repro,clean,clean,0.0,0.99835000739244,0.9990850237375918,1500,0.0
FSTT-Net,clean,clean,0.0,0.9989670297176088,0.9992576607682347,1500,0.0
STT-Repro,JPEG,jpeg,90.0,0.9964457148489478,0.9984980578334053,1500,0.0019042925434921143
FSTT-Net,JPEG,jpeg,90.0,0.9989374599576168,0.9994130340958135,1500,2.9569759991909805e-05
STT-Repro,JPEG,jpeg,70.0,0.9975269824059927,0.9993439792835563,1500,0.0008230249864472627
FSTT-Net,JPEG,jpeg,70.0,0.9982051155684787,0.9990332326283988,1500,0.0007619141491300718
STT-Repro,JPEG,jpeg,50.0,0.9960672219210487,0.9972895986189038,1500,0.0022827854713912688
FSTT-Net,JPEG,jpeg,50.0,0.9968744763688333,0.9970996978851965,1500,0.00209255334877545
STT-Repro,JPEG,jpeg,30.0,0.9916830121728846,0.9938368580060423,1500,0.006666995219555383
FSTT-Net,JPEG,jpeg,30.0,0.9938159775269825,0.996184721622788,1500,0.005151052190626282
STT-Repro,Blur,blur,1.0,0.9941649006948894,0.9943029779887785,1500,0.004185106697550567
FSTT-Net,Blur,blur,1.0,0.9982218717658076,0.9978765645230903,1500,0.0007451579518011897
STT-Repro,Blur,blur,2.0,0.9634862747030704,0.9701510574018127,1500,0.0348637326893696
FSTT-Net,Blur,blur,2.0,0.9862687891183284,0.9880535174794994,1500,0.012698240599280375
STT-Repro,Blur,blur,3.0,0.8292356217042038,0.8413724643936122,1500,0.1691143856882361
FSTT-Net,Blur,blur,3.0,0.8803587797545709,0.8959343979283556,1500,0.11860824996303787
STT-Repro,Noise,noise,5.0,0.9675038194273322,0.9676132930513595,1500,0.03084618796510774
FSTT-Net,Noise,noise,5.0,0.9913045192449854,0.993992231333621,1500,0.007662510472623341
STT-Repro,Noise,noise,10.0,0.7020688975407816,0.7068105308588692,1500,0.29628110985165834
FSTT-Net,Noise,noise,10.0,0.8870080331181313,0.8859473457056538,1500,0.1119589965994775
STT-Repro,Noise,noise,15.0,0.5215179143462619,0.5236167457919723,1500,0.476832093046178
FSTT-Net,Noise,noise,15.0,0.5507190379971415,0.5352352179542512,1500,0.44824799172046725
STT-Repro,Downscale,resize,0.5,0.9959469715637475,0.9978765645230901,1500,0.0024030358286925013
FSTT-Net,Downscale,resize,0.5,0.9981923020058154,0.9980060422960725,1500,0.0007747277117933216
STT-Repro,Downscale,resize,0.33,0.9781223202405007,0.9855330168321105,1500,0.020227687151939233
FSTT-Net,Downscale,resize,0.33,0.9936967128283476,0.9940267587397497,1500,0.005270316889261162
STT-Repro,Downscale,resize,0.25,0.9596816322507515,0.971178247734139,1500,0.038668375141688416
FSTT-Net,Downscale,resize,0.25,0.9800354837119906,0.9829520932239966,1500,0.018931546005618194
