Family,Level,STT-Repro,FSTT-Net
clean,0.0,0.99835000739244,0.9989670297176088
JPEG,90.0,0.9964457148489478,0.9989374599576168
JPEG,70.0,0.9975269824059927,0.9982051155684787
JPEG,50.0,0.9960672219210487,0.9968744763688333
JPEG,30.0,0.9916830121728846,0.9938159775269825
Blur,1.0,0.9941649006948894,0.9982218717658076
Blur,2.0,0.9634862747030704,0.9862687891183284
Blur,3.0,0.8292356217042038,0.8803587797545709
Noise,5.0,0.9675038194273322,0.9913045192449854
Noise,10.0,0.7020688975407816,0.8870080331181313
Noise,15.0,0.5215179143462619,0.5507190379971415
Downscale,0.5,0.9959469715637475,0.9981923020058154
Downscale,0.33,0.9781223202405007,0.9936967128283476
Downscale,0.25,0.9596816322507515,0.9800354837119906
